,epoch,batch,loss,acc,f1,recall,roll_730_acc,roll_730_loss,roll_180_acc,roll_180_loss
1808,9,17,0.3535819368229972,0.885,0.885,0.885,0.8485890410958876,0.3774768434962007,0.85375,0.3687121897255637
1809,9,18,0.351201112333097,0.9,0.9,0.9,0.8486541095890383,0.37742394705284743,0.8539166666666668,0.36866164267754997
1810,9,19,0.3507385849952698,0.87,0.87,0.87,0.8486712328767096,0.3773701780844627,0.8540138888888891,0.3686091073219494
1811,9,20,0.35046190165338065,0.8725,0.8725,0.8725,0.8487397260273946,0.37731501178264254,0.8539444444444446,0.3685577942954713
1812,9,21,0.3501383282921531,0.8725,0.8725,0.8725,0.8487876712328739,0.3772594162841522,0.8539444444444446,0.36850753894540206
1813,9,22,0.3517984177755273,0.855,0.855,0.855,0.8487499999999971,0.37720703762125907,0.8541111111111113,0.3684597640946009
1814,9,23,0.3521282399694125,0.87,0.87,0.87,0.848818493150682,0.377154558599044,0.8541250000000002,0.3684154897936609
1815,9,24,0.3538328051567078,0.85,0.85,0.85,0.8487842465753396,0.37710445885959776,0.8540555555555557,0.3683785205779295
1816,9,25,0.35466878230755144,0.845,0.845,0.845,0.8487979452054766,0.3770552534301577,0.8540694444444445,0.368339730100396
1817,9,26,0.35355772685121606,0.87,0.87,0.87,0.8488390410958875,0.37700376082847825,0.8539444444444445,0.3683011341973984
1818,9,27,0.3545030227729252,0.8525,0.8525,0.8525,0.8488390410958875,0.37695377771482774,0.8539305555555556,0.36826343621419166
1819,9,28,0.35565747063735437,0.84,0.8399999999999999,0.84,0.8488424657534218,0.3769053897176199,0.8538750000000002,0.3682307723613256
1820,9,29,0.35577842891216277,0.86,0.8599999999999999,0.86,0.84887328767123,0.3768564496028239,0.853777777777778,0.36819990805885966
1821,9,30,0.3568438031981068,0.8475,0.8475,0.8475,0.8488904109589013,0.3768084845589372,0.8538055555555557,0.3681695309372641
1822,9,31,0.35675857309252024,0.85,0.85,0.85,0.8489006849315041,0.3767603873959077,0.8539583333333335,0.3681356163078008
1823,9,32,0.35647705739194696,0.855,0.855,0.855,0.8489109589041068,0.37671151340700165,0.8540000000000002,0.3680961138531006
1824,9,33,0.35604919142582836,0.8625,0.8625,0.8625,0.8489452054794493,0.3766617136998515,0.8539583333333335,0.368056529250353
1825,9,34,0.3551923428262983,0.8675,0.8675,0.8675,0.8489999999999972,0.37661031086711133,0.8542500000000003,0.36800962595056874
1826,9,35,0.35692310250467724,0.83,0.83,0.83,0.8490547945205452,0.376559638784918,0.8541388888888892,0.36797224658179695
1827,9,36,0.35798883679750804,0.8425,0.8425,0.8425,0.8490410958904082,0.376510110942432,0.8538888888888893,0.36794469682283115
1828,9,37,0.3560790286252373,0.8975,0.8975,0.8975,0.8491267123287645,0.3764573273047715,0.8542777777777784,0.36789968705648335
1829,9,38,0.35592795870242977,0.8675,0.8675,0.8675,0.8492431506849287,0.376403198603314,0.8543611111111117,0.3678535622683364
1830,9,39,0.35690675899386404,0.8475,0.8475,0.8475,0.8492363013698602,0.3763504391394843,0.8543611111111117,0.3678125118168391
1831,9,40,0.3574898461016213,0.8525,0.8525,0.8525,0.8492876712328737,0.37629797212394284,0.8543472222222228,0.3677723829729179
1832,9,41,0.35840916562648045,0.855,0.855,0.855,0.8493047945205451,0.37624653559582105,0.854194444444445,0.3677405714190691
1833,9,42,0.3575282027555067,0.8925,0.8925,0.8925,0.8493938356164356,0.3761930914426477,0.8544027777777785,0.3676998282304006
1834,9,43,0.356333544308489,0.8875,0.8875,0.8875,0.8494589041095862,0.3761378627678796,0.8546250000000006,0.36765086143249953
1835,9,44,0.3568898273838891,0.865,0.865,0.865,0.8495171232876685,0.3760829280897691,0.8545972222222229,0.36760575514011923
1836,9,45,0.35725149512290955,0.85,0.85,0.85,0.8495342465753398,0.37602861207560107,0.854458333333334,0.3675647801537698
1837,9,46,0.35853758264095226,0.8225,0.8225,0.8225,0.8495034246575315,0.3759761018513742,0.854097222222223,0.3675334730669377
1838,9,47,0.3589830305427313,0.855,0.855,0.855,0.8495410958904083,0.37592372776905286,0.8539444444444452,0.3675092164527819
1839,9,48,0.3591460141600395,0.87,0.87,0.87,0.849551369863011,0.37587167361442614,0.8540000000000006,0.36748560269632974
1840,9,49,0.35855134546756745,0.875,0.875,0.875,0.8495719178082165,0.37581893892507284,0.8540277777777784,0.36745888749876077
1841,9,50,0.3586280708219491,0.85,0.85,0.85,0.8496130136986274,0.37576577649707815,0.8539166666666672,0.3674351124290331
1842,9,51,0.3603300114090626,0.83,0.83,0.83,0.8495993150684905,0.37571483757610125,0.8538472222222229,0.36741985228147506
1843,9,52,0.3612934407198204,0.8325,0.8325,0.8325,0.8495547945205453,0.37566567779055243,0.853833333333334,0.3674084452829569
1844,9,53,0.36089345812797546,0.8525,0.8525,0.8525,0.8495239726027369,0.37561632615067686,0.853944444444445,0.3673916392611932
1845,9,54,0.3599750453775579,0.8975,0.8975,0.8975,0.8496027397260246,0.3755654014459615,0.8541111111111116,0.367372416198205
1846,9,55,0.35933021722095354,0.8925,0.8925,0.8925,0.8496986301369837,0.37551338421794256,0.8544027777777784,0.3673466180859328
1847,9,56,0.35981230568467526,0.845,0.845,0.845,0.849674657534244,0.3754621397279769,0.8540972222222227,0.36732780265184334
1848,9,57,0.3597015430187357,0.8725,0.8725,0.8725,0.849702054794518,0.37541059421942663,0.8540555555555561,0.36731247691580887
1849,9,58,0.3595264523716296,0.865,0.865,0.865,0.8497465753424632,0.3753589776843993,0.8540833333333339,0.3672964639986508
1850,9,59,0.3602114508549372,0.835,0.835,0.835,0.8497773972602715,0.37530771685453324,0.8538194444444451,0.36728555830830284
1851,9,60,0.3607925924121356,0.84,0.8399999999999999,0.84,0.8498047945205454,0.37525673315868513,0.8537361111111118,0.36727760170425533
1852,9,61,0.3615154614371638,0.8225,0.8225,0.8225,0.8497636986301345,0.3752065633429136,0.8535694444444452,0.36727191042830853
1853,9,62,0.3624302106244223,0.835,0.835,0.835,0.8497602739726003,0.3751574989809681,0.853472222222223,0.3672715663130183
1854,9,63,0.3630667789839208,0.83,0.83,0.83,0.8497671232876688,0.375108554600875,0.8535000000000009,0.36727125648334835
1855,9,64,0.36256625147966237,0.875,0.875,0.875,0.8497876712328742,0.375059144745833,0.8535555555555564,0.36726715709108937
1856,9,65,0.36345085050120496,0.8375,0.8375,0.8375,0.8498013698630112,0.3750110496160037,0.8535277777777787,0.36726726779234414
1857,9,66,0.36360194789829536,0.8375,0.8375,0.8375,0.8497842465753399,0.3749631541769721,0.8533888888888898,0.36726627734812367
1858,9,67,0.3638928230194485,0.86,0.8599999999999999,0.86,0.8498356164383537,0.3749154489935566,0.8535694444444455,0.36726462266023185
